Name,Rating,Reviews_count,compound,positive,neutral,negative
Wright & Company,4.0,609,0.846485714286,0.177857142857,0.747761904762,0.0267619047619
Republic,4.0,349,0.867814285714,0.259904761905,0.660238095238,0.0322380952381
The Greek,3.0,5,0.440928571429,0.168,0.623,0.0658571428571
Parc,4.0,187,0.875933333333,0.208333333333,0.713904761905,0.0301904761905
Standby,4.5,236,0.851028571429,0.201238095238,0.721523809524,0.0295238095238
Grey Ghost Detroit,4.0,295,0.711523809524,0.217904761905,0.687571428571,0.0470476190476
Vertical Detroit,4.0,187,0.833333333333,0.200666666667,0.718857142857,0.0329047619048
Chill Martini Bistro,3.5,7,0.6037875,0.207625,0.643375,0.024125
Dime Store,4.5,766,0.698842857143,0.213952380952,0.699761904762,0.0387142857143
SavannahBlue,4.0,175,0.801980952381,0.227047619048,0.692904761905,0.0323333333333
Rusted Crow Detroit,4.0,134,0.750623809524,0.18019047619,0.732142857143,0.04
Roast,4.0,818,0.851638095238,0.187571428571,0.732571428571,0.0323333333333
Vicente’s Cuban Cuisine,4.0,519,0.88869047619,0.172904761905,0.749523809524,0.0301428571429
La Lanterna,4.0,38,0.783471428571,0.214095238095,0.709714285714,0.0285714285714
Selden Standard,4.5,694,0.877919047619,0.217666666667,0.703333333333,0.031380952381
Cornerstone Barrel House,4.5,114,0.86529047619,0.255095238095,0.668952380952,0.0282380952381
Gogo’s,4.0,70,0.879771428571,0.187,0.736761904762,0.028619047619
Central Kitchen + Bar,3.5,206,0.649719047619,0.182380952381,0.733142857143,0.0367142857143
Downtown Louie’s,4.0,147,0.641985714286,0.217571428571,0.697523809524,0.0373333333333
Townhouse,3.0,494,0.747166666667,0.195428571429,0.725619047619,0.0313333333333
Royale with Cheese,4.5,129,0.87209047619,0.216952380952,0.696285714286,0.0392857142857
Joe Muer Seafood,4.0,414,0.923438095238,0.259380952381,0.679142857143,0.0139047619048
Maru Sushi & Grill Detroit,4.0,133,0.896914285714,0.20419047619,0.701571428571,0.0466666666667
Firebird Tavern,4.0,133,0.705885714286,0.193523809524,0.726380952381,0.0325238095238
Angelina Italian Bistro,4.0,274,0.757557142857,0.219,0.692619047619,0.0405714285714
London Chop House,4.0,159,0.747671428571,0.212714285714,0.70380952381,0.0358571428571
Rock City Eatery,4.0,263,0.799314285714,0.175571428571,0.745476190476,0.0314285714286
Jacoby’s German Biergarten,4.0,226,0.598452380952,0.178619047619,0.731619047619,0.0422857142857
Wala,4.5,93,0.56200952381,0.213285714286,0.687142857143,0.0519523809524
Mudgie’s Deli,4.5,660,0.511614285714,0.163428571429,0.736857142857,0.0520476190476
Angelina Italian Bistro,4.0,274,0.757557142857,0.219,0.692619047619,0.0405714285714
La Pecora Nera,4.5,31,0.773557142857,0.236476190476,0.694333333333,0.0215714285714
Maru Sushi & Grill Detroit,4.0,133,0.896914285714,0.20419047619,0.701571428571,0.0466666666667
ima,4.5,90,0.905519047619,0.178857142857,0.741904761905,0.031619047619
Brass Rail Pizza Bar,4.0,27,0.558352380952,0.213761904762,0.687714285714,0.0509047619048
2941 Street Food,4.5,86,0.784747619048,0.223,0.701904761905,0.0274285714286
Calexico - Detroit,3.0,224,0.770385714286,0.207476190476,0.697904761905,0.047
Andiamo Detroit Riverfront,3.5,156,0.634104761905,0.153428571429,0.752095238095,0.0469523809524
