Name	category	price	rating	review_count
Wright & Company	Gastropubs,American (New),Tapas/Small Plates	$$	4.0	609
Republic	American (New)	$$$	4.0	349
The Greek	Greek,Mediterranean	$$	3.0	5
Parc	American (New),Bars,Breakfast & Brunch	$$$	4.0	187
Standby	American (New),Cocktail Bars	$$	4.5	236
Grey Ghost Detroit	American (Traditional),Beer Bar,Cocktail Bars	$$$	4.0	295
Vertical Detroit	Wine Bars,American (New),Cocktail Bars	$$	4.0	187
Chill Martini Bistro	American (Traditional)	$$	3.5	7
Dime Store	Breakfast & Brunch,Bars,Diners	$$	4.5	766
SavannahBlue	American (New),Soul Food	$$	4.0	175
Rusted Crow Detroit	Cocktail Bars,Burgers,Sandwiches	$$	4.0	134
Vicente’s Cuban Cuisine	Cuban,Dance Clubs,Seafood	$$	4.0	519
Roast	Steakhouses	$$$	4.0	818
La Lanterna	Pizza,Italian,Wine Bars	$$	4.0	38
Selden Standard	American (New),Breakfast & Brunch,Sandwiches	$$	4.5	694
Central Kitchen + Bar	American (New),Seafood,Burgers	$$	3.5	206
Cornerstone Barrel House	American (New),Whiskey Bars	$$	4.5	114
Gogo’s	Hawaiian,Poke,Asian Fusion	$	4.0	70
Downtown Louie’s	American (Traditional),Lounges,Cocktail Bars	$$	4.0	147
Royale with Cheese	Burgers	$$	4.5	129
La Dulce	Tapas/Small Plates,Tapas Bars,Cocktail Bars	$$	4.0	120
Townhouse	American (New),Sushi Bars,Chicken Wings	$$	3.0	494
Joe Muer Seafood	Seafood,Sushi Bars,American (Traditional)	$$$	4.0	414
Angelina Italian Bistro	Italian,Bars	$$	4.0	274
Maru Sushi & Grill Detroit	Sushi Bars,Seafood	$$	4.0	133
Firebird Tavern	American (New),Sports Bars,Venues & Event Spaces	$$	4.0	133
Wala	American (Traditional),Fast Food	$	4.5	93
Rock City Eatery	American (New),Tapas/Small Plates,Cocktail Bars	$$	4.0	263
London Chop House	Steakhouses,Cocktail Bars,Cigar Bars	$$$$	4.0	159
Mudgie’s Deli	Delis,Wine Bars,American (Traditional)	$$	4.5	660
2941 Street Food	Mediterranean,Turkish,Sandwiches	$$	4.5	86
Batch Brewing Company	Breweries,Bars,American (New)	$$	4.5	276
Takoi	Thai	$$	4.5	219
Wahlburgers	Burgers,American (Traditional)	$$	3.5	258
Chartreuse	American (New),Tapas/Small Plates,Cocktail Bars	$$	4.5	386
Jacoby’s German Biergarten	German,Pubs	$$	4.0	226
Andiamo Detroit Riverfront	Italian	$$$	3.5	156
